


         ||   //\\ 
         || //    \\
          //        \\
        //            \\
      //                \\
    //                    \\
  //                        \\
//                            \\
. .                             . .
. .                             . .
. .                             . .
. .                             . .
. .                             . .
. .                             . .
. .                             . .
. .                             . . | -\o/- - - u - - |
. .                             . . | - | - ø - | - - |
. .                             . . | - - - | - - - - |
. .                             . . | - - - - - - - - |
